Timestamp,Temperature (°F),Humidity (%)
2026-01-16 19:28:10,69.44,54.0
2026-01-16 19:28:15,69.44,54.0
2026-01-16 19:28:20,69.44,54.0
2026-01-16 19:28:25,69.44,54.0
2026-01-16 19:28:30,69.44,54.0
2026-01-16 19:28:35,69.44,54.0
2026-01-16 19:28:40,69.44,54.0
2026-01-16 19:28:45,69.44,54.0
2026-01-16 19:28:50,69.44,54.0
2026-01-16 19:28:55,69.44,54.0
2026-01-16 19:29:00,69.44,54.0
2026-01-16 19:29:05,69.44,54.0
2026-01-16 19:29:10,69.44,54.0
2026-01-16 19:29:15,69.44,54.0
2026-01-16 19:29:20,69.44,54.0
2026-01-16 19:29:25,69.44,54.0
2026-01-16 19:29:30,69.44,54.0
2026-01-16 19:29:35,69.44,54.0
2026-01-16 19:29:40,69.44,54.0
2026-01-16 19:29:45,69.44,54.0
2026-01-16 19:29:50,69.44,54.0
2026-01-16 19:29:55,69.44,54.0
2026-01-16 19:30:00,69.44,54.0
2026-01-16 19:30:05,69.44,54.0
2026-01-16 19:30:10,69.44,54.0
2026-01-16 19:30:15,69.44,54.0
2026-01-16 19:30:20,69.44,54.0
2026-01-16 19:30:25,69.44,54.0
2026-01-16 19:30:30,69.44,54.0
2026-01-16 19:30:35,69.44,54.0
2026-01-16 19:30:40,69.44,54.0
2026-01-16 19:30:45,69.44,54.0
2026-01-16 19:30:50,69.44,54.0
2026-01-16 19:30:55,69.44,54.0
2026-01-16 19:31:00,69.44,54.0
2026-01-16 19:31:05,69.44,54.0
2026-01-16 19:31:10,69.44,54.0
2026-01-16 19:31:15,69.44,54.0
2026-01-16 19:31:20,69.44,54.0
2026-01-16 19:31:25,69.44,54.0
2026-01-16 19:31:30,69.44,54.0
2026-01-16 19:31:35,69.44,54.0
2026-01-16 19:31:40,69.44,54.0
2026-01-16 19:31:45,69.44,54.0
2026-01-16 19:31:50,69.44,54.0
2026-01-16 19:31:55,69.44,54.0
2026-01-16 19:32:00,69.44,54.0
2026-01-16 19:32:05,69.44,54.0
2026-01-16 19:32:10,69.44,54.0
2026-01-16 19:32:15,69.44,54.0
2026-01-16 19:32:20,69.44,54.0
2026-01-16 19:32:25,69.44,54.0
2026-01-16 19:32:30,69.44,54.0
2026-01-16 19:32:35,69.44,54.0
2026-01-16 19:32:40,69.44,54.0
2026-01-16 19:32:45,69.44,54.0
2026-01-16 19:32:50,69.44,54.0
2026-01-16 19:32:55,69.44,54.0
2026-01-16 19:33:00,69.44,54.0
2026-01-16 19:33:05,69.44,54.0
2026-01-16 19:33:10,69.44,54.0
2026-01-16 19:33:15,69.44,54.0
2026-01-16 19:33:20,69.44,54.0
2026-01-16 19:33:25,69.44,54.0
2026-01-16 19:33:30,69.44,54.0
2026-01-16 19:33:35,69.44,54.0
2026-01-16 19:33:40,69.44,54.0
2026-01-16 19:33:45,69.44,54.0
2026-01-16 19:33:50,69.44,54.0
2026-01-16 19:33:55,69.44,54.0
2026-01-16 19:34:00,69.44,54.0
2026-01-16 19:34:05,69.44,54.0
2026-01-16 19:34:10,69.44,54.0
2026-01-16 19:34:15,69.44,54.0
2026-01-16 19:34:20,69.44,54.0
2026-01-16 19:34:25,69.44,54.0
2026-01-16 19:34:30,69.44,54.0
2026-01-16 19:34:35,69.44,54.0
2026-01-16 19:34:40,69.44,54.0
2026-01-16 19:34:45,69.44,54.0
2026-01-16 19:34:50,69.44,54.0
